Термин,Перевод,Пояснение
addition,сложение,-
addend,слагаемое,-
sum,сумма,-
add,складывать,-
plus,плюс,=
equals,равно,=
subtraction,вычитание,-
subtract,вычитать,-
minuend,уменьшаемое,-
subtrahend,вычитаемое,-
difference,разность,-
minus,минус,-
multiplication,умножение,*
multiply,умножать,-
factor,множитель,-
product,произведение,-
times,раз/на,-
division,деление,/
divide,делить,-
dividend,делимое,-
divisor,делитель,-
quotient,частное,-
numerator,числитель,-
denominator,знаменатель,-
divided by,разделенное на,-
exponentiation,возведение степень,^
base,основание,число возводимое степень
exponent,показатель степени,степень в которую возводят число
power,степень,-
raise to,возвести, возвести в степень
squared,в квадрате,возведение во вторую степень
cubed,в кубе,возведение в третью степень
